2026-03-18 05:00:14: [18.03.2026, 06:00:14] WARN  Trade skipped for EURCAD: Position bereits offen für EURCAD — übersprungen.
2026-03-19 08:30:19: [19.03.2026, 09:30:19] WARN  Trade skipped for CHFJPY: Position bereits offen für CHFJPY — übersprungen.
2026-03-19 09:30:06: [19.03.2026, 10:30:06] ERROR Failed to open trade for USDCHF: error.invalid.takeprofit.minvalue: 0.79332
2026-03-19 09:30:06: [19.03.2026, 10:30:06] WARN  Trade skipped for USDCHF: Trade fehlgeschlagen: error.invalid.takeprofit.minvalue: 0.79332
2026-03-19 11:30:07: [19.03.2026, 12:30:07] ERROR Failed to open trade for USDCHF: error.invalid.takeprofit.minvalue: 0.79564
2026-03-19 11:30:07: [19.03.2026, 12:30:07] WARN  Trade skipped for USDCHF: Trade fehlgeschlagen: error.invalid.takeprofit.minvalue: 0.79564
2026-03-19 13:15:27: [19.03.2026, 14:15:27] ERROR Failed to open trade for GBPAUD: error.invalid.takeprofit.minvalue: 1.89943
2026-03-19 13:15:27: [19.03.2026, 14:15:27] WARN  Trade skipped for GBPAUD: Trade fehlgeschlagen: error.invalid.takeprofit.minvalue: 1.89943
2026-03-19 13:45:20: [19.03.2026, 14:45:20] ERROR Failed to open trade for CHFJPY: error.invalid.takeprofit.maxvalue: 199.821
2026-03-19 13:45:20: [19.03.2026, 14:45:20] WARN  Trade skipped for CHFJPY: Trade fehlgeschlagen: error.invalid.takeprofit.maxvalue: 199.821
2026-03-19 17:45:27: [19.03.2026, 18:45:27] ERROR Failed to open trade for GBPAUD: error.invalid.takeprofit.minvalue: 1.90004
2026-03-19 17:45:27: [19.03.2026, 18:45:27] WARN  Trade skipped for GBPAUD: Trade fehlgeschlagen: error.invalid.takeprofit.minvalue: 1.90004
2026-03-20 02:06:12: [20.03.2026, 03:06:12] WARN  Trade skipped for CHFJPY: CHFJPY: Preis bereits über TP — Trade übersprungen
2026-03-20 07:30:12: [20.03.2026, 08:30:12] WARN  Trade skipped for CHFJPY: CHFJPY: Preis bereits über TP — Trade übersprungen
2026-03-20 09:18:16: [20.03.2026, 10:18:16] WARN  Trade skipped for GBPCAD: GBPCAD: Preis bereits unter TP — Trade übersprungen
